prefcode,prefname,cityname,regionname
01,北海道,留萌郡小平町,留萌振興局
01,北海道,苫前郡苫前町,留萌振興局
01,北海道,苫前郡羽幌町,留萌振興局
01,北海道,苫前郡初山別村,留萌振興局
01,北海道,天塩郡遠別町,留萌振興局
01,北海道,天塩郡天塩町,留萌振興局
01,北海道,宗谷郡猿払村,宗谷総合振興局
01,北海道,枝幸郡浜頓別町,宗谷総合振興局
01,北海道,枝幸郡中頓別町,宗谷総合振興局
01,北海道,枝幸郡枝幸町,宗谷総合振興局
01,北海道,天塩郡豊富町,宗谷総合振興局
01,北海道,礼文郡礼文町,宗谷総合振興局
01,北海道,利尻郡利尻町,宗谷総合振興局
01,北海道,利尻郡利尻富士町,宗谷総合振興局
01,北海道,天塩郡幌延町,宗谷総合振興局
01,北海道,網走郡美幌町,オホーツク総合振興局
01,北海道,網走郡津別町,オホーツク総合振興局
01,北海道,斜里郡斜里町,オホーツク総合振興局
01,北海道,斜里郡清里町,オホーツク総合振興局
01,北海道,斜里郡小清水町,オホーツク総合振興局
01,北海道,常呂郡訓子府町,オホーツク総合振興局
01,北海道,常呂郡置戸町,オホーツク総合振興局
01,北海道,常呂郡佐呂間町,オホーツク総合振興局
01,北海道,紋別郡遠軽町,オホーツク総合振興局
01,北海道,紋別郡湧別町,オホーツク総合振興局
01,北海道,紋別郡滝上町,オホーツク総合振興局
01,北海道,紋別郡興部町,オホーツク総合振興局
01,北海道,紋別郡西興部村,オホーツク総合振興局
01,北海道,紋別郡雄武町,オホーツク総合振興局
01,北海道,網走郡大空町,オホーツク総合振興局
01,北海道,虻田郡豊浦町,胆振総合振興局
01,北海道,有珠郡壮瞥町,胆振総合振興局
01,北海道,白老郡白老町,胆振総合振興局
01,北海道,勇払郡厚真町,胆振総合振興局
01,北海道,虻田郡洞爺湖町,胆振総合振興局
01,北海道,勇払郡安平町,胆振総合振興局
01,北海道,勇払郡むかわ町,胆振総合振興局
01,北海道,沙流郡日高町,日高振興局
01,北海道,沙流郡平取町,日高振興局
01,北海道,新冠郡新冠町,日高振興局
01,北海道,浦河郡浦河町,日高振興局
01,北海道,様似郡様似町,日高振興局
01,北海道,幌泉郡えりも町,日高振興局
01,北海道,日高郡新ひだか町,日高振興局
01,北海道,河東郡音更町,十勝総合振興局
01,北海道,河東郡士幌町,十勝総合振興局
01,北海道,河東郡上士幌町,十勝総合振興局
01,北海道,河東郡鹿追町,十勝総合振興局
01,北海道,上川郡新得町,十勝総合振興局
01,北海道,上川郡清水町,十勝総合振興局
01,北海道,河西郡芽室町,十勝総合振興局
01,北海道,河西郡中札内村,十勝総合振興局
01,北海道,河西郡更別村,十勝総合振興局
01,北海道,広尾郡大樹町,十勝総合振興局
01,北海道,広尾郡広尾町,十勝総合振興局
01,北海道,中川郡幕別町,十勝総合振興局
01,北海道,中川郡池田町,十勝総合振興局
01,北海道,中川郡豊頃町,十勝総合振興局
01,北海道,中川郡本別町,十勝総合振興局
01,北海道,足寄郡足寄町,十勝総合振興局
01,北海道,足寄郡陸別町,十勝総合振興局
01,北海道,十勝郡浦幌町,十勝総合振興局
01,北海道,釧路郡釧路町,釧路総合振興局
01,北海道,厚岸郡厚岸町,釧路総合振興局
01,北海道,厚岸郡浜中町,釧路総合振興局
01,北海道,川上郡標茶町,釧路総合振興局
01,北海道,川上郡弟子屈町,釧路総合振興局
01,北海道,阿寒郡鶴居村,釧路総合振興局
01,北海道,白糠郡白糠町,釧路総合振興局
01,北海道,野付郡別海町,根室振興局
01,北海道,標津郡中標津町,根室振興局
01,北海道,標津郡標津町,根室振興局
01,北海道,目梨郡羅臼町,根室振興局
